preprocessedSmiles;Molecule ChEMBL ID;y_true_label
CCNC(=O)C1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)C(O)C1O;CHEMBL1096896;1
Nc1nc(-c2cccc(Br)c2)cn2c1nc1ccccc12;CHEMBL4855390;1
Nc1nc(NCCc2cccs2)nc2sc(-c3ccco3)nc12;CHEMBL4172264;1
CCNC(=O)C1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCC4CCCCC4)nc32)C(O)C1O;CHEMBL404123;1
CCCCc1nc2[nH]ncc2c2nc(-c3ccc(OC)cc3)nn12;CHEMBL126061;0
O=C(O)CC1CCC(OC2CCN(c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)CC2)CC1;CHEMBL4473500;1
O=C(O)CC1CCC(OC2CCN(c3ccc(-c4nc5c(F)cccc5[nH]4)cn3)CC2)CC1;CHEMBL4461166;1
CCCC(=O)NC1CC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4cn(C(C)C)cn4)nc32)C(O)C1O;CHEMBL590718;1
CCCCc1nc2[nH]ncc2c2nc(-c3cccc(Cl)c3)nn12;CHEMBL124900;1
Cc1cccnc1CNC(=O)c1c(N)nc(-c2ccco2)nc1OCC(C)O;CHEMBL4778265;1
COc1ccccc1CNc1nc(N)c2nc(-c3cccs3)sc2n1;CHEMBL4162037;1
Nc1nc(NCc2ccco2)nc2sc(-c3ccco3)nc12;CHEMBL4172399;1
Nc1nc(NCCc2cccnc2)nc2sc(-c3ccco3)nc12;CHEMBL4162638;1
COc1cccc(CCNc2nc(N)c(C(=O)N=C(N)N)nc2Cl)c1;CHEMBL3818888;0
CCNC(=O)C1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(CNC(=O)NCCN(C(C)C)C(C)C)nc32)C(O)C1O;CHEMBL257213;1
Cc1ccc(C(=O)c2ncnc3ccsc23)s1;CHEMBL1079059;0
O=C(c1cccnc1)c1nc(NCc2cccnc2)nc2ccsc12;CHEMBL1081873;0
CCn1nc(-c2cccc(-c3cncc(O)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O;CHEMBL3903604;1
Nc1nc(-c2ccc([N+](=O)[O-])cc2)cn2c1nc1ccccc12;CHEMBL4853667;1
N=C(N)NC(=O)c1nc(Cl)c(NCCc2ccc3c(c2)OCO3)nc1N;CHEMBL3818205;0
CCOc1ccc(CCNc2nc(N)c(C(=O)N=C(N)N)nc2Cl)cc1;CHEMBL3818905;0
COc1cccc(CNc2nc(N)c3nc(-c4ccccc4)sc3n2)c1;CHEMBL4128596;1
